Ship:Current Mass:Max Mass:Price:Total Slots:Large:Mid:Small:Hull:Armour:Shield:Max Officers:Max Crew:Cargo:Engine:Speed:Agility:Fuel Cost:Fuel Tank:Fuel Range:Jump Cost:Pilot:Navigation:Ship Ops:Electronics:Gunnery:Tier
Raptor Class:5910:6000:485000:23:4:8:11:1600:2:10:6:36:50:M6000 Void Engine Balanced:15:0:3:200:66:30:24:28:34:36:22:0
Solar Predator:4760:5000:340000:20:4:5:11:1950:7:9:5:30:50:M5000 Void Engine Balanced:19:0:2:160:80:35:14:17:35:16:24:0
Vengeance Class:5990:6000:500000:24:5:6:13:2350:8:3:6:36:25:M6000 Void Engine Balanced:15:0:3:85:28:46:24:28:37:34:23:0
Warhammer Class:7825:8000:1050000:30:7:11:12:2500:3:9:7:42:60:M8000 Void Engine Balanced:9:0:4:125:31:73:23:26:50:34:29:0
Dart Jammer:3120:3400:185000:16:2:3:11:1000:15:8:5:30:25:M3400 Void Engine Balanced:24:0:2:85:42:19:13:21:21:16:15:0
Stellar Falcon:5915:6000:500000:23:4:6:13:2050:5:9:5:30:25:M6000 Void Engine Balanced:15:0:3:115:38:32:24:28:31:33:25:0
Hammerhead Jammer:4890:5000:325000:19:4:5:10:2000:8:5:5:30:50:M5000 Void Engine Traveler:23:0:3:130:43:29:13:17:30:17:20:0
Sword Battlecruiser:8980:9000:1275000:32:6:12:14:2100:9:7:7:42:60:M9000 Void Engine Balanced:9:0:4:205:51:63:26:27:50:35:38:0
Cautela Titan:8755:9000:1300000:30:6:12:12:2700:7:4:7:42:60:M9000 Void Engine Balanced:9:0:4:250:62:63:22:27:47:35:34:0
Strikecruiser:3380:3400:375000:17:3:4:10:1250:12:10:4:24:25:M3400 Void Engine Balanced:24:0:2:115:57:38:14:18:26:16:20:0
Paladin Defender:4890:5000:340000:19:4:5:10:1500:12:6:5:30:50:M5000 Void Engine Balanced:19:0:2:110:55:29:14:17:29:17:20:0
Callus Freighter:3395:3400:356000:18:3:4:11:1500:5:12:5:30:25:M3400 Void Engine Chaser:24:0:2:90:45:38:15:20:23:20:16:0
Vrax Hauler:4890:5000:340000:21:4:7:10:1000:12:9:5:30:50:M5000 Void Engine Traveler:23:0:3:180:60:34:13:17:34:18:24:0
Paladin Cutter:4815:5000:320000:21:4:5:12:1600:7:11:5:30:50:M5000 Void Engine Balanced:19:0:2:120:60:31:14:17:30:17:20:0
Vulture Liner:3255:3400:325000:16:2:3:11:1000:8:12:4:24:25:M3400 Void Engine Balanced:24:0:2:125:62:24:12:15:23:14:23:0
Allistar Liner:2320:2400:340000:15:2:3:10:1000:10:14:4:24:35:M2400 Void Engine Balanced:27:0:2:155:77:18:11:11:21:14:21:0
Bolt Raptor:3395:3400:435000:18:2:4:12:1050:11:12:5:24:25:M3400 Void Engine Balanced:24:0:2:120:60:28:16:15:24:14:20:0
Dart Liner:3370:3400:368000:17:2:3:12:950:12:16:5:24:25:M3400 Void Engine Chaser:24:0:2:85:42:27:13:19:20:16:19:0
Volk Frigate:2385:2400:320000:16:2:3:11:1350:6:12:5:24:35:M2400 Void Engine Balanced:27:0:2:105:52:18:11:11:20:14:21:0
Galtak Heavylift:4895:5000:345000:21:5:5:11:1500:7:7:5:30:75:M5000 Void Engine Balanced:19:0:2:170:85:25:14:25:30:18:20:0
Aeternum Vindex:2335:2400:370000:16:2:4:10:1000:14:10:5:24:35:M2400 Void Engine Longhaul:27:0:1:120:120:16:10:16:18:16:17:0
Zartar Fang:2360:2400:535000:17:2:6:9:1250:8:8:5:24:45:M2400 Void Engine Chaser:27:0:1:120:120:25:17:16:25:15:15:0
Palace Interceptor:3295:3400:315000:16:2:6:8:1200:11:11:5:24:25:M3400 Void Engine Traveler:29:0:2:110:55:23:13:19:21:21:17:0
Corsair Interceptor:3345:3400:325000:17:2:3:12:1100:10:10:5:24:25:M3400 Void Engine Chaser:24:0:2:95:47:22:13:19:20:16:19:0
Sword Cutter:3365:3400:800000:19:2:6:11:1900:7:8:5:30:45:M3400 Void Engine Warhammer:24:0:3:155:51:35:17:18:29:28:14:0
Wolf Vector:3305:3400:625000:19:2:6:11:1700:10:6:5:30:40:M3400 Void Engine Behemoth:24:0:3:205:68:30:17:22:28:31:16:0
Royale Gladius:4845:5000:400000:21:4:5:12:1100:10:10:5:30:50:M5000 Void Engine Traveler:23:0:3:135:45:37:13:17:28:15:20:0
Strikecarrier:4995:5000:620000:21:4:5:12:1350:8:12:5:30:40:M5000 Void Engine Warhammer:19:0:4:150:37:56:19:23:27:24:15:0
Reach Cruiser:4980:5000:750000:21:4:6:11:1650:14:9:5:30:80:M5000 Void Engine Chaser:18:0:2:195:97:51:16:20:30:16:16:0
Arcanum Freighter:4835:5000:780000:21:4:5:12:1600:10:9:5:30:135:M5000 Void Engine Traveler:23:0:3:260:86:28:17:21:36:16:14:0
Crimson Defender:5950:6000:665000:23:4:7:12:1900:9:5:6:36:25:M6000 Void Engine Chaser:13:0:2:105:52:35:22:34:37:33:24:0
Horizon Highliner:5895:6000:800000:23:5:8:10:2495:4:9:6:30:100:M6000 Void Engine Longhaul:15:0:2:200:100:31:23:28:38:37:16:0
Tiberian Highliner:6865:7000:795000:26:6:7:13:2200:6:5:6:42:35:M7000 Void Engine Longhaul:12:0:3:210:70:44:23:27:33:36:18:0
Degla Megalift:6960:7000:595000:26:5:9:12:1900:7:9:7:36:45:M7000 Void Engine Longhaul:12:0:3:170:56:38:21:25:35:29:24:0
Aegis Freighter:7920:8000:950000:28:7:13:8:2200:9:7:7:36:70:M8000 Void Engine Balanced:9:0:4:145:36:65:23:26:47:35:30:0
Fallen Carrier:5295:6000:800000:21:4:9:8:1850:4:7:7:36:25:M6000 Void Engine Balanced:15:0:3:205:68:45:20:32:32:28:16:0
Basalt Carrier:6945:7000:1050000:26:6:8:12:1850:4:7:7:36:25:M7000 Void Engine Balanced:12:0:4:240:60:63:24:33:39:33:19:0
Harbinger Carrier:7870:8000:1100000:28:6:10:12:2100:7:11:7:42:25:M8000 Void Engine Balanced:9:0:4:205:51:65:27:38:44:39:27:0
